Season;Azimuth;Angle;PctOnModule
Summer;-180;25;[0.0014457816077244406, 0.0014537254627119375, 0.0014537254627119375, 0.0014537254627119375, 0.008772408575295921, 0.054159641606386956, 0.21028832053233354, 0.35462099813936937, 0.47943251628448974, 0.571024044198724, 0.6038098085409765, 0.6028610405928394, 0.5632131624402946, 0.5040293245357823, 0.40861418671845917, 0.29551549561150386, 0.1766086608052231, 0.07016161385576516, 0.012839725697027715, 0.0014537254627119375, 0.0014537254627119375, 0.0014537254627119375, 0.0014537254627119375, 0.0014537254627119375]
Winter;-180;25;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010831769018163698, 0.09881376932070575, 0.2137172686982696, 0.28780780079759527, 0.30119436023717633, 0.3068415338320185, 0.2765327728109923, 0.21748867068588465, 0.14134476353335057, 0.06693205262273123, 0.0143321049345504, 0.0006366751892355365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;30;[0.0014289870557813707, 0.0014368386330109385, 0.0014368386330109385, 0.0014368386330109385, 0.008608202330969853, 0.043577317089255246, 0.20069411441892024, 0.34953672760307347, 0.4778076328329566, 0.5718719251052486, 0.6059136032365324, 0.6052896151154921, 0.5654125409739452, 0.5049931835849073, 0.40805510757361946, 0.29324875077767376, 0.17303678625817895, 0.06656916907318887, 0.011467342231666618, 0.0014368386330109385, 0.0014368386330109385, 0.0014368386330109385, 0.0014368386330109385, 0.0014368386330109385]
Winter;-180;30;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011135156041756852, 0.10358551012507423, 0.2234381945637791, 0.29901173992512853, 0.31073756913780964, 0.31620199612622885, 0.2846822790790781, 0.22389686564121322, 0.14553407869373583, 0.06897783776393804, 0.014561626984264109, 0.0006265962031096697, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;35;[0.0014094401967601144, 0.0014171843736653898, 0.0014171843736653898, 0.0014171843736653898, 0.008418001216184558, 0.03518036893369274, 0.190003876108261, 0.3425457577178229, 0.47361994207314256, 0.5696901975671973, 0.6048615019360182, 0.6046076010118631, 0.564702243500991, 0.5033853041490316, 0.4054393197564402, 0.2895229199919537, 0.1686282573316116, 0.06268687137319398, 0.011196831523887632, 0.0014171843736653898, 0.0014171843736653898, 0.0014171843736653898, 0.0014171843736653898, 0.0014171843736653898]
Winter;-180;35;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0113723720135137, 0.10769561920740567, 0.23176763384436924, 0.30844750786410075, 0.31856091483771853, 0.32382966166282356, 0.2912933962933365, 0.22908862028976185, 0.1489294577391926, 0.07064172092502707, 0.014712442433098123, 0.0006131315967870473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;40;[0.0013872878589635286, 0.0013949103197270646, 0.0013949103197270646, 0.0013949103197270646, 0.00820280676398516, 0.03367170277303374, 0.17828818484019532, 0.3336891506353095, 0.4668928009969053, 0.564492897600637, 0.6006635271543471, 0.6008236471435167, 0.5610900470496064, 0.4992163505425073, 0.40078273332284714, 0.2843612906573334, 0.16341298015257835, 0.05854300326102657, 0.010928300027702531, 0.0013949103197270646, 0.0013949103197270646, 0.0013949103197270646, 0.0013949103197270646, 0.0013949103197270646]
Winter;-180;40;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01154205520999901, 0.11111939970526473, 0.23866374186595316, 0.3160739144640724, 0.324630821566514, 0.32969266231243444, 0.29633553402879226, 0.23303832985814654, 0.15151091724066706, 0.07191485194264086, 0.014783444958634965, 0.0005959460798107859, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;45;[0.0013626965724534107, 0.0013701839162580996, 0.0013701839162580996, 0.0013701839162580996, 0.007963958449851581, 0.03299186632910718, 0.16562571766538073, 0.3230193993984943, 0.4576625743828694, 0.5563073153668185, 0.5933426213903105, 0.5939590723790851, 0.5545963490357179, 0.492509444604961, 0.3941126808061121, 0.2777962775787526, 0.15742661948269843, 0.05416771556078753, 0.010631597209920624, 0.0013701839162580996, 0.0013701839162580996, 0.0013701839162580996, 0.0013701839162580996, 0.0013701839162580996]
Winter;-180;45;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011644789651624335, 0.11383718268506533, 0.24409400301711484, 0.32186008132386024, 0.32892359002315774, 0.33376895533763545, 0.29978717325442855, 0.235725819947362, 0.15326519057326196, 0.07278631798546607, 0.014774420514683365, 0.0005764425800544989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;50;[0.0013358513642708653, 0.0013431912069316943, 0.0013431912069316943, 0.0013431912069316943, 0.007703265013645294, 0.03224985530982558, 0.15210296803501144, 0.31060047349865205, 0.44597879776128135, 0.5451741503007534, 0.5829347394403901, 0.5840479251466861, 0.5452542222851484, 0.48330024466277494, 0.38546795032613096, 0.26986938169617075, 0.1507104486484203, 0.04959639682242254, 0.01030775282555129, 0.0013431912069316943, 0.0013431912069316943, 0.0013431912069316943, 0.0013431912069316943, 0.0013431912069316943]
Winter;-180;50;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011678901068789839, 0.11583307934537083, 0.24803558778654503, 0.3257848787630243, 0.3314249173219162, 0.33604582826810975, 0.3016355337413742, 0.23713932823219638, 0.15418201685609068, 0.07325032270391242, 0.014686336052900274, 0.0005538656940120281, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;55;[0.00130695441486317, 0.001314135483076704, 0.001314135483076704, 0.001314135483076704, 0.007422701449083011, 0.03145412246412507, 0.13781388739365602, 0.2965078471403449, 0.43190441458726125, 0.5311478390461997, 0.569489157485798, 0.5711372606844232, 0.5331096459228205, 0.471637129477171, 0.3748988466685133, 0.26063112761475443, 0.1433111647689936, 0.04486002044621623, 0.009960159374531504, 0.001314135483076704, 0.001314135483076704, 0.001314135483076704, 0.001314135483076704, 0.001314135483076704]
