Hour,GSR
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.6464646464646465
7,5.493055555555556
8,15.515151515151516
9,26.22790404040404
10,34.085542929292934
11,36.984848484848484
12,35.26199494949495
13,32.052083333333336
14,22.85921717171717
15,13.313762626262626
16,4.513888888888889
17,0.678030303030303
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
